Birds_spp,Sample,Year,longitude,latitude
Lapwing,23_3_C,2023.0,-2.441962502278473,52.77476965788705
Wren,22_4_C,2022.0,-2.430870128426324,52.77138067301349
Wren,22_4_C,2022.0,-2.4295334491974763,52.77120270553258
Wren,22_4_B,2022.0,-2.429503456360253,52.7710722305185
Wren,22_4_A,2022.0,-2.4291459186423756,52.7682877396898
Wren,22_4_B,2022.0,-2.429014691106935,52.76807928061816
Wren,22_4_C,2022.0,-2.428862035011944,52.768610873318146
Wren,22_4_A,2022.0,-2.4289201303285144,52.768680307823374
Blue tit,22_4_A,2022.0,-2.4293607789727893,52.77115980301839
Blue tit,22_4_A,2022.0,-2.428795088556875,52.77056116521341
Blue tit,22_4_B,2022.0,-2.4315071373723356,52.76902785016576
Chiffchaff,22_4_A,2022.0,-2.4300786238107808,52.771174612654576
Chiffchaff,22_4_B,2022.0,-2.4288471093179322,52.77001252564455
Chiffchaff,22_4_A,2022.0,-2.42873234798584,52.76855910883132
Chiffchaff,22_4_B,2022.0,-2.4299968363788835,52.76870252478595
Coal tit,22_4_A,2022.0,-2.429555811722522,52.77055841177428
Teal,22_4_A,2022.0,-2.4310524226280297,52.77094473157471
Teal,22_4_A,2022.0,-2.429669094234296,52.77040130092133
Skylark,22_4_A,2022.0,-2.4291792004444477,52.77021155239774
Skylark,22_4_C,2022.0,-2.4288644582135404,52.77031715814469
Great tit,22_4_A,2022.0,-2.429124100298648,52.77044680243804
Dunnock,22_4_B,2022.0,-2.4296218852942157,52.771437435720514
Cuckoo,22_4_A,2022.0,-2.4311150687447043,52.77002171247423
Cuckoo,22_4_A,2022.0,-2.4274984307909637,52.770069629286965
Robin,22_4_C,2022.0,-2.429480483624309,52.768739218534485
Robin,22_4_A,2022.0,-2.4292788608839393,52.76867030402222
Mistle thrush,22_4_A,2022.0,-2.42901999952684,52.76861900744729
Stock dove,22_4_A,2022.0,-2.4286765630413703,52.768724716560804
Robin,22_4_B,2022.0,-2.42804094530846,52.76830914497354
Green woodpecker,22_4_A,2022.0,-2.43052752388249,52.77150955397466
Blackcap,22_4_A,2022.0,-2.4300869679824193,52.771485719507915
Blackbird,22_4_B,2022.0,-2.4288041113515586,52.771096150354914
Swallow,22_4_B,2022.0,-2.4289707194651804,52.77098109810564
Chaffinch,22_4_B,2022.0,-2.429988573677642,52.76878217974668
Redstart,22_4_C,2022.0,-2.4285908533622784,52.76852002204934
Chaffinch,22_4_C,2022.0,-2.429091902371399,52.76827007869047
Firecrest,22_4_B,2022.0,-2.427726045857552,52.768045969528536
Blue tit,22_4_C,2022.0,-2.429547604734191,52.768018332440306
Blue tit,22_4_C,2022.0,-2.4277149588468996,52.768164011558234
Wren,22_4_C,2022.0,-2.4280420353747796,52.76791079570315
Wren,22_4_A,2022.0,-2.4281426737100937,52.7679451958765
Robin,22_4_C,2022.0,-2.428296614422076,52.76757093201033
Chiffchaff,22_4_C,2022.0,-2.4281461688132837,52.76684144124681
Skylark,22_4_C,2022.0,-2.427199852300535,52.766775327521906
Dunnock,22_4_A,2022.0,-2.4273958434312095,52.76630531352578
Robin,22_4_C,2022.0,-2.428926849500445,52.766091203686514
Chiffchaff,22_4_B,2022.0,-2.427248481475321,52.765888682210566
Blue tit,22_4_A,2022.0,-2.4267602412051157,52.7657774590535
Linnet,22_4_A,2022.0,-2.427662189816344,52.76570468215473
Yellowhammer,22_4_A,2022.0,-2.4278175757179676,52.76547815859142
Great crested grebe,22_4_C,2022.0,-2.427359185167942,52.76548850257208
Skylark,22_4_C,2022.0,-2.4310003960819206,52.76568390366286
Great crested grebe,22_4_A,2022.0,-2.429791583654705,52.76514945671567
Wren,22_4_C,2022.0,-2.4277975384095685,52.764895941587895
Wren,22_4_A,2022.0,-2.4274108750000107,52.7649147178444
Skylark,22_4_C,2022.0,-2.427521063791678,52.764462394523015
Wren,22_4_B,2022.0,-2.429043318576657,52.76482191307391
Blackbird,22_4_C,2022.0,-2.42760337432593,52.76818568842862
Bullfinch,22_4_A,2022.0,-2.427616530753504,52.76806850715898
Song thrush,22_4_B,2022.0,-2.4278476390592485,52.7681124242295
Blackcap,22_4_C,2022.0,-2.4281143405172876,52.76794544863436
Goldcrest,22_4_C,2022.0,-2.4282753383478255,52.76794486721815
Goldcrest,22_4_B,2022.0,-2.4282841539739586,52.76774952603846
Blackbird,22_4_B,2022.0,-2.4279272141289767,52.767470871409
Firecrest,22_4_B,2022.0,-2.4281653865203174,52.76767834155269
Grey partridge,22_4_C,2022.0,-2.4289139525625263,52.767395692646886
Blackbird,22_4_C,2022.0,-2.4289461941277186,52.76630835382645
Goldfinch,22_4_C,2022.0,-2.427034164763306,52.76615249778855
Coot,22_4_B,2022.0,-2.430289406517818,52.765379022280925
Coot,22_4_A,2022.0,-2.4302352301127828,52.765327136363446
Coot,22_4_C,2022.0,-2.4301822093606607,52.76539243188789
Coot,22_4_A,2022.0,-2.4287206618740456,52.76520241620625
Coot,22_4_B,2022.0,-2.4288279230149485,52.765195518002315
Coot,22_4_C,2022.0,-2.428785568853334,52.765254264007865
Moorhen,22_4_A,2022.0,-2.428722645191053,52.76540422877306
Redstart,22_4_A,2022.0,-2.430854695601404,52.76501890214653
Nuthatch,22_4_C,2022.0,-2.4307989760892124,52.76481077452889
Nuthatch,22_4_A,2022.0,-2.4304008491057,52.7647080553702
Whitethroat,22_4_C,2022.0,-2.430829308891228,52.764621865171506
Goldfinch,22_4_A,2022.0,-2.4295099324901837,52.764698265457206
Bullfinch,22_4_A,2022.0,-2.42931745421295,52.76477057602324
Long-tailed tit,22_4_C,2022.0,-2.4285245989556885,52.76491016083381
Firecrest,22_4_C,2022.0,-2.428531622381306,52.76453253719495
Kingfisher,22_4_C,2022.0,-2.4274002436155078,52.76517463173442
Woodpigeon,22_5_B,2022.0,-2.4373500311318024,52.78461761953866
Woodpigeon,22_5_C,2022.0,-2.4335608618563835,52.78438587151857
Woodpigeon,22_5_C,2022.0,-2.4369195937394577,52.783652307233744
Blackcap,22_5_C,2022.0,-2.433594372069059,52.784099143819745
Blackcap,22_5_C,2022.0,-2.434589273056434,52.7848954769276
Blackcap,22_5_B,2022.0,-2.438913706703193,52.78462759010495
Mallard,22_5_A,2022.0,-2.437315497447326,52.783764230239576
Mallard,22_5_B,2022.0,-2.437237614412565,52.78376766692629
Coot,22_5_A,2022.0,-2.4372906631538727,52.783877704109415
Canada goose,22_5_A,2022.0,-2.4374338921140613,52.783656710305365
Whitethroat,22_5_B,2022.0,-2.4356419874193924,52.78315623564414
Dunnock,22_5_C,2022.0,-2.433461604887663,52.78432954322393
Dunnock,22_5_A,2022.0,-2.4381664744511897,52.78418942220418
Great tit,22_5_A,2022.0,-2.4369115407903346,52.78388540050347
Great tit,22_5_A,2022.0,-2.4348373812333843,52.78477173666129
Blue tit,22_5_B,2022.0,-2.435679949982151,52.78435605872235
Blue tit,22_5_A,2022.0,-2.4386546490161884,52.78417816897301
Wren,22_5_B,2022.0,-2.4334857604456133,52.78414678349569
Wren,22_5_C,2022.0,-2.436429540707751,52.78399425859227
Wren,22_5_B,2022.0,-2.4370291940391504,52.784221964337576
Wren,22_5_C,2022.0,-2.437160095287908,52.78432541562737
Wren,22_5_B,2022.0,-2.4376787739030825,52.78424791429644
Wren,22_5_C,2022.0,-2.4377990033634593,52.784323058697865
Wren,22_5_B,2022.0,-2.4374268728431607,52.78451025286614
Wren,22_5_A,2022.0,-2.437769829520591,52.78452158539045
Wren,22_5_A,2022.0,-2.4380769002945333,52.78458029210995
Wren,22_5_B,2022.0,-2.4386073590751125,52.783608282893255
Wren,22_5_A,2022.0,-2.4385149389454694,52.78371570795959
Song thrush,22_5_A,2022.0,-2.433971772637249,52.78391824140781
Song thrush,22_5_C,2022.0,-2.4383282924058833,52.78375104257517
Song thrush,22_5_B,2022.0,-2.438302954141937,52.78381412639227
Blackbird,22_5_A,2022.0,-2.436908524297974,52.78410272766848
